size ;time;mode
2;6018.185;Sequential
4;1793.23;Sequential
8;268.479;Sequential
16;43.988;Sequential
32;5.959;Sequential
64;1.03;Sequential
128;0.118;Sequential
256;0.012;Sequential
512;0.001;Sequential
1024;0.0001;Sequential
2;0.906;Threads
4;0.923;Threads
8;0.903;Threads
16;0.88;Threads
32;0.586;Threads
64;0.352;Threads
128;0.108;Threads
256;0.018;Threads
512;0.003;Threads
1024;0.0001;Threads
2;1370.522;Streams
4;117.115;Streams
8;57.154;Streams
16;28.877;Streams
32;8.8482;Streams
64;1.597;Streams
128;0.217;Streams
256;0.029;Streams
512;0.003;Streams
1024;0.0001;Streams
